timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-09-28T00:00:00.000Z";"2024-09-28T23:59:59.999Z";"2024-09-28T03:01:00.000Z";"2024-09-28T09:10:00.000Z";"2781";2.2026912001;2.2584321907;2.1165477896;2.1462224059;35405719.96;594657525.05;"2024-09-28T23:59:59.999Z"
"2024-09-27T00:00:00.000Z";"2024-09-27T23:59:59.999Z";"2024-09-27T06:15:00.000Z";"2024-09-27T00:13:00.000Z";"2781";2.1103890197;2.263284441;2.1088133923;2.2026912001;61422928.4;609722905.67;"2024-09-27T23:59:59.999Z"
"2024-09-26T00:00:00.000Z";"2024-09-26T23:59:59.999Z";"2024-09-26T16:40:00.000Z";"2024-09-26T01:40:00.000Z";"2781";2.0093633781;2.1403797437;1.9696048415;2.1103890197;45131977.18;572355531.37;"2024-09-26T23:59:59.999Z"
"2024-09-25T00:00:00.000Z";"2024-09-25T23:59:59.999Z";"2024-09-25T01:46:00.000Z";"2024-09-25T23:46:00.000Z";"2781";2.054461834;2.0782143446;2.0022214691;2.0093633781;31805032.7;544199084.22;"2024-09-25T23:59:59.999Z"
"2024-09-24T00:00:00.000Z";"2024-09-24T23:59:59.999Z";"2024-09-24T12:36:00.000Z";"2024-09-24T14:43:00.000Z";"2781";2.0379064341;2.0841917609;2.0102874796;2.054461834;42560360.89;555186488;"2024-09-24T23:59:59.999Z"
"2024-09-23T00:00:00.000Z";"2024-09-23T23:59:59.999Z";"2024-09-23T18:52:00.000Z";"2024-09-23T00:19:00.000Z";"2781";1.945779306;2.0788564503;1.9227237925;2.0379064341;44647054.4;550364362.19;"2024-09-23T23:59:59.999Z"
"2024-09-22T00:00:00.000Z";"2024-09-22T23:59:59.999Z";"2024-09-22T00:19:00.000Z";"2024-09-22T16:20:00.000Z";"2781";2.0007820075;2.0146586598;1.8999953162;1.945779306;33611121.25;525480327.5;"2024-09-22T23:59:59.999Z"
"2024-09-21T00:00:00.000Z";"2024-09-21T23:59:59.999Z";"2024-09-21T15:54:00.000Z";"2024-09-21T04:49:00.000Z";"2781";1.8527115234;2.0144254274;1.8368472314;2.0007820075;46619879.93;540450681.76;"2024-09-21T23:59:59.999Z"
"2024-09-20T00:00:00.000Z";"2024-09-20T23:59:59.999Z";"2024-09-20T11:07:00.000Z";"2024-09-20T01:15:00.000Z";"2781";1.8452675073;1.8959664045;1.8188371691;1.8527115234;28712948.48;500006890.78;"2024-09-20T23:59:59.999Z"
"2024-09-19T00:00:00.000Z";"2024-09-19T23:59:59.999Z";"2024-09-19T17:46:00.000Z";"2024-09-19T00:00:00.000Z";"2781";1.7682060586;1.8775610318;1.7682060586;1.8453234667;29876090.45;497732424.49;"2024-09-19T23:59:59.999Z"
"2024-09-18T00:00:00.000Z";"2024-09-18T23:59:59.999Z";"2024-09-18T23:59:00.000Z";"2024-09-18T16:06:00.000Z";"2781";1.7404001409;1.7682092922;1.6832657453;1.7682060586;20566176.02;472301868.13;"2024-09-18T23:59:59.999Z"
"2024-09-17T00:00:00.000Z";"2024-09-17T23:59:59.999Z";"2024-09-17T15:22:00.000Z";"2024-09-17T01:17:00.000Z";"2781";1.7053549899;1.7655714523;1.6810481898;1.7404001409;15510867.62;464589441.84;"2024-09-17T23:59:59.999Z"
"2024-09-16T00:00:00.000Z";"2024-09-16T23:59:59.999Z";"2024-09-16T00:09:00.000Z";"2024-09-16T21:11:00.000Z";"2781";1.7798533231;1.7822299128;1.6859317999;1.7053549899;21683549.98;454926616.28;"2024-09-16T23:59:59.999Z"
"2024-09-15T00:00:00.000Z";"2024-09-15T23:59:59.999Z";"2024-09-15T15:59:00.000Z";"2024-09-15T04:50:00.000Z";"2781";1.7765339827;1.820681086;1.7644170246;1.7798533231;17388341.61;484176659.57;"2024-09-15T23:59:59.999Z"
"2024-09-14T00:00:00.000Z";"2024-09-14T23:59:59.999Z";"2024-09-14T00:31:00.000Z";"2024-09-14T18:11:00.000Z";"2781";1.8062392182;1.8149104932;1.7607048651;1.7765339827;12542278.27;483092484.35;"2024-09-14T23:59:59.999Z"
"2024-09-13T00:00:00.000Z";"2024-09-13T23:59:59.999Z";"2024-09-13T21:40:00.000Z";"2024-09-13T12:41:00.000Z";"2781";1.7599771828;1.823413411;1.7447206756;1.8062392182;17721269.35;490899211.54;"2024-09-13T23:59:59.999Z"
"2024-09-12T00:00:00.000Z";"2024-09-12T23:59:59.999Z";"2024-09-12T14:36:00.000Z";"2024-09-12T00:01:00.000Z";"2781";1.7193789378;1.7837829998;1.7184769282;1.7599771828;20272076.09;468531522.74;"2024-09-12T23:59:59.999Z"
